age,covid_trouble_bills,education,enthusiasm,factory_farming_ban,gender,gss_bible,gss_spanking,gss_trust,id,income,loc_county,lv_likely,race,rigged_who_actually_won,social_fb,survey_method,vote2016,vote2020,vote_method,vote_ossoff_perdue,vote_warnock_loeffler,birth_control,covid_know_dead,covid_positive,covid_reduced_work,loc_east_west,loc_north_south,lv_thought,rigged_trump_concede,rigged_vote_counts,slaughterhouse_ban,urban_rural,vegetarian_imperative,weight,lv_index,lv_weight
35-54,Yes,Graduated from high school,More enthusiastic,Agree,Male,Word of God,Agree,Can't be too careful,wick_d3c47df2638f933795607341601dd50031abe1bf7c780ba7d477d4a6,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,5.637480214575283,0.83,6.292363368217649
35-54,No,Completed graduate school,More enthusiastic,Agree,Female,Inspired word,Don't know,Can't be too careful,wick_b5965d7982ba64da80df0d7aaa6c05c4e34e201734f3a6c0876926f2,"Between $50,000 and $74,999",Another county in Georgia,Already voted,Other,Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.5207773000758077,0.83,0.5812738814628691
65 or older,No,"Some college, no degree",More enthusiastic,Agree,Male,Word of God,Agree,Can't be too careful,wick_5328eb91566617b767dc3457dc85dd015db75dc13aba05d84a2609b0,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.2656679643595649,0.83,0.2965295315313172
65 or older,No,Graduated from college,More enthusiastic,Agree,Male,Book of fables,Disagree,Can trust,wick_0729fccf0a4434427251f587fda8d92cd7cec5ce52701a00a79c1bbe,"Between $100,000 and $150,000","Fulton County, GA",Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.25090607000252163,0.83,0.28005280793100995
65 or older,No,"Some college, no degree",More enthusiastic,Don't know,Male,Inspired word,Don't know,Can't be too careful,wick_8a2d9905bd05fba7dbedbadac2d1a8f6bcb821b2c061c47fa5e63bcd,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.2656679643595649,0.83,0.2965295315313172
65 or older,No,"Some college, no degree",More enthusiastic,Don't know,Male,Word of God,Agree,Can trust,wick_470b0cc1c25aa18daa66be583b77265c659ac9e38b4b1712cb211cde,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.7042325327128572,0.83,0.7860403625174168
55-64,Yes,Completed graduate school,More enthusiastic,Don't know,Female,Word of God,Don't know,Can't be too careful,wick_21235e08c382b5a70c6ee57d36bff70a13e2b40ea09dfc51d0be9662,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.28574099456724983,0.83,0.31893436403811803
65 or older,No,Completed graduate school,About the same,Agree,Male,Inspired word,Agree,Can trust,wick_81acc9af465639fde35bc8e7bf6858f6a215f688f4baa4e9727e7100,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.09295695481977143,0.83,0.10375538628352586
65 or older,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,I don't know,Agree,Can't be too careful,wick_9bba28c1b9e5eda9fa4de9adf26d16745cf71b5388cce16491f3c4a3,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.3908435768426909,0.83,0.43624628593279935
65 or older,No,Graduated from high school,More enthusiastic,Don't know,Male,Inspired word,Agree,Can't be too careful,wick_b7c1193e8e3d8c547bfc97fcd1aa9f688cc06a8e2ecd178150af6051,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.8118601544524544,0.83,0.9061706474435961
65 or older,No,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Agree,Can trust,wick_de8d1cc0a97781bc61b920fd1d012cb33d3b0193a5e89554b055e0d2,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.3908435768426909,0.83,0.43624628593279935
35-54,No,Completed graduate school,More enthusiastic,Don't know,Male,I don't know,Agree,Can't be too careful,wick_792198516e1e9448abf9b6d56d29b6db25567b579d84cfe0ff1809e1,"Over $150,000","Cobb County, GA",Already voted,Other,Joe Biden,Yes,IVR,Other,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.083082633505946,0.83,1.2088999390552995
55-64,Yes,Graduated from high school,Less enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_ddac4e452e050328536abcb820c14bcd7b2541d9e96acf4a4cec7037,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,2.3875438309729873,0.83,2.6648950896868526
55-64,Unsure,Completed graduate school,About the same,Agree,Male,Book of fables,Agree,Can trust,wick_bbd4235f655155fa9c851b54af0063404957c4c1ee38592ed77d41dd,"Under $15,000","Fulton County, GA",Already voted,"Black, non-Hispanic",Don't know,No,IVR,Other,Did not vote,Absentee by mail,Undecided,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.11403011302970806,0.59,0.09047367624288402
55-64,No,Graduated from college,Less enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_cdb1f0787624e3e6d07078c5b63afa7ccb28c360c08b3d9fd983d6e9,"Between $100,000 and $150,000",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.4762621398114699,0.83,0.5315875760362948
65 or older,No,"Some college, no degree",Less enthusiastic,Disagree,Female,Word of God,Don't know,Can't be too careful,wick_7db826c9581137bc5c6fafe1a4b17f9acc5eae6514bf619e97325999,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.24845101827150856,0.83,0.2773125628230331
55-64,No,Graduated from college,More enthusiastic,Agree,Female,Inspired word,Don't know,Can trust,wick_8b7334f4ddcb073447ce4d07d625d924cc7a9da33cc0ef91bba3d91b,"Over $150,000",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.8924322585175448,0.83,0.9961024852190287
65 or older,Unsure,"Some college, no degree",More enthusiastic,Don't know,Male,Word of God,Don't know,Can trust,wick_c15310dfb7d775d37416a05771e67a041ce0f7aa9fbc97d3551e66e7,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.44766576763484706,0.83,0.499669279581279
65 or older,No,Completed graduate school,More enthusiastic,Don't know,Male,Inspired word,Don't know,Can trust,wick_eb158b84acddb5347e152e25e48f462c5e14e2bed7cc48699e0a0305,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.08867065771728459,0.83,0.09897116747540406
65 or older,No,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_003f76486276a5a291d306bd48f091167e5aef474bff5a686e9d240b,"Between $15,000 and $49,999","Cobb County, GA",Very likely,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.26377564817916116,0.83,0.29441739267469236
65 or older,No,Completed graduate school,More enthusiastic,Don't know,Male,Book of fables,Agree,Can trust,wick_379334b688ebdbe4b065b5f476bba34d2655add21e8d64568278412f,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.19081789183328057,0.83,0.21298443043186993
35-54,No,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Don't know,Can trust,wick_1f62fb72605bce5f948ce9993e4b73b2b341cf760445bfcb32fe4440,"Over $150,000","Fulton County, GA",Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.1517782421911107,0.83,1.2855756372742262
35-54,Yes,Graduated from high school,More enthusiastic,Disagree,Male,Book of fables,Agree,Can trust,wick_7bbc43df7ca8eaf031debcb482a3fd962bfb86476a3936b3150e16b9,"Between $100,000 and $150,000","Cobb County, GA",Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,7.810052543632016,0.83,8.717314590718711
35-54,Yes,Graduated from high school,More enthusiastic,Agree,Female,Word of God,Disagree,Can't be too careful,wick_181d7d8b28e1521b5d3e61c9fcb882a6f27a37c8db7c817b42a2a5e6,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,3.3513858028669947,0.83,3.7407026643221157
35-54,Yes,Graduated from high school,More enthusiastic,Disagree,Female,Inspired word,Disagree,Can't be too careful,wick_00fff1d69b967f1e5b4e6f5cf7a72f1c53aa5701cfbb86071e018c3d,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.7068928090316147,0.83,1.9051756061610972
55-64,No,Completed graduate school,More enthusiastic,Don't know,Male,I don't know,Disagree,Can trust,wick_0a6caf3bd7916c1c5d89ed923d6730ba0f1200274389194aa7941b94,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.0698923924474872,0.83,0.07801150748460643
65 or older,Yes,"Some college, no degree",More enthusiastic,Agree,Male,Book of fables,Agree,Can trust,wick_cc7bb6e1608de70069061866448407ef75ea0264e50215e7ea4a2653,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.16109239251578705,0.83,0.17980584072723774
55-64,No,Completed graduate school,More enthusiastic,Agree,Female,Word of God,Agree,Can't be too careful,wick_f1df6628c3989958c50267d4c08dd48305c6e2e91a22a692224fff4f,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.10779426515319965,0.83,0.12031628662754147
35-54,No,Completed graduate school,More enthusiastic,Don't know,Female,Word of God,Don't know,Can't be too careful,wick_fc2b837ae9617db53b25fbf17275869c219d00d72306fd2da254cc7a,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.9731537149091997,0.83,1.0862010249735126
65 or older,No,Graduated from college,More enthusiastic,Don't know,Male,Word of God,Agree,Can't be too careful,wick_72c419a2c99395de4667de2790dbae19a0679800200f7399d8a89af4,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.1908504232022579,0.83,0.21302074083770364
65 or older,No,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_8a9bd901c3517309ba56fd26493f73cdde2a6f364d0a21df938a64ef,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.7592465375116796,0.83,0.8474451205580869
65 or older,Yes,"Some college, no degree",About the same,Don't know,Female,Inspired word,Agree,Can trust,wick_3138634e022b6dbcc26ecc8cce3a9474ab470492392bdadcd0f24c94,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.6904299705107079,0.83,0.7706344127876414
18-34,Yes,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Don't know,Can't be too careful,wick_a36dfb060f217ba6541a31c838f4bd7f8b3512c8e82d612393b15fae,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,2.9236747569342447,0.83,3.2633061653240167
18-34,No,Graduated from college,More enthusiastic,Don't know,Male,I don't know,Disagree,Can trust,wick_9f4a4470829d548092e0afed12aa15a8efdd1dc50b427e208efd6449,"Between $100,000 and $150,000","Gwinnett County, GA",Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.4102565734655728,0.83,1.5740803452791277
65 or older,No,Less than high school,More enthusiastic,Don't know,Male,Word of God,Agree,Can't be too careful,wick_8b521a4c53576162f633556af0e112eca2b6dff4e6842356ea50fee0,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.9593460537850658,0.83,2.186955317842795
65 or older,No,"Some college, no degree",More enthusiastic,Don't know,Male,I don't know,Disagree,Don't know,wick_5a65b0af46f2dbc958bda4df654c013a8f44886670cdf2669d84c694,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.16109239251578705,0.83,0.17980584072723774
65 or older,No,Graduated from high school,More enthusiastic,Don't know,Male,Word of God,Agree,Don't know,wick_421eb54daa13478504aea5c7b3de94f2a44da647c9b96c58a5f22046,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.2771544623556281,0.83,1.4255163031357445
55-64,Yes,"Some college, no degree",About the same,Disagree,Female,Word of God,Don't know,Don't know,wick_21eb70b7feabdd490a96c539c73cc29a38b1884136b5ec00cbf25323,"Between $15,000 and $49,999","Fulton County, GA",Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.1882052930296101,0.83,0.21006833664841634
55-64,Yes,"Some college, no degree",Less enthusiastic,Agree,Male,Word of God,Agree,Can trust,wick_461b4f2e2ddf35946e2b54f2e437524fdb20d4255d71d6a5666ad165,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.10173468151729474,0.83,0.1135527857998775
65 or older,No,Graduated from college,Less enthusiastic,Don't know,Male,Inspired word,Disagree,Can trust,wick_b1d7bceb4a98e2ec6f294fc01d02ff99cc440ceeacfa15eb64468b29,"Over $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.2769380552157636,0.83,0.30910882301631126
18-34,Yes,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Don't know,Can trust,wick_5414045e85881378c3960499820d2534a3f1e7896ae11a123fc58fe0,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.7361960076254614,0.83,0.8217169043420814
55-64,Unsure,Graduated from college,About the same,Don't know,Other,Word of God,Agree,Can't be too careful,wick_2120b302852d7322bd20c849eba973e1bf5793e34a013b3cdc0df5d0,"Between $50,000 and $74,999",Another county in Georgia,Already voted,Other,Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.06085102046610241,0.83,0.0679198360837905
55-64,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Don't know,Can't be too careful,wick_5d89682147280125241113fe7c1462f99149569626b0d466b0e9e8bf,"Between $15,000 and $49,999",Another county in Georgia,Already voted,Hispanic,Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Undecided,Undecided,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,2.3072325210169358,0.83,2.575254341411676
65 or older,No,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_4eba98644253c5714b1e05009902a50b8f297bea74cedaeced57fb40,"Under $15,000",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.386691515507464,0.83,0.4316118965151963
55-64,Yes,Graduated from high school,More enthusiastic,Disagree,Female,Word of God,Agree,Can trust,wick_e9ffe6267a80b9429a9335ee483951d00f747ccfdaf399a1095e8459,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.29074527247973925,0.83,0.3245199685675171
65 or older,No,Less than high school,More enthusiastic,Don't know,Female,Word of God,Don't know,Can't be too careful,wick_217dad8bf5e36b9d179ef0b266fb41c57cd63a36a58364294d428468,"Under $15,000",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,2.593423350869578,0.83,2.894690796271189
55-64,Yes,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can't be too careful,wick_a9819d622ff140d9aea8af5b2f70e28e896c45264ef1fd4e5d2c5418,"Between $15,000 and $49,999","Cobb County, GA",Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.1493614823381684,0.83,0.16671219841401852
65 or older,No,"Some college, no degree",More enthusiastic,Don't know,Male,Inspired word,Disagree,Can trust,wick_2674ead502bb56060f8a03b1ddd79d0558ed60ec6041ac0652e65de6,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.2534178661494228,0.83,0.2828563892229368
35-54,No,Graduated from college,More enthusiastic,Don't know,Male,Word of God,Agree,Can't be too careful,wick_1ddaa7fbb574de751b6cfa728df8c8c9d63b4cd2146cf8d6c6e53324,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.8059613120194784,0.83,0.8995865604708062
65 or older,No,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Agree,Can trust,wick_f2550ebc9b8bad2374b1d3b96c632630affcc54a581b17e40ade28a4,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.2793739917367186,0.83,1.4279936662200792
55-64,Yes,Graduated from college,More enthusiastic,Agree,Female,Inspired word,Agree,Can't be too careful,wick_d36728b805ccf0738874f5eb539fbc53e9f1f244e8890d38c906b0b7,"Under $15,000",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.12073723285507926,0.83,0.13476278625919777
18-34,No,Graduated from college,More enthusiastic,Don't know,Male,Word of God,Agree,Don't know,wick_e8229bd065b66611b453e2ce111da32b390060cb1c92d180312d2a22,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,2.6649755358878617,0.83,2.9745549076805626
55-64,No,Completed graduate school,More enthusiastic,Don't know,Female,Inspired word,Don't know,Can trust,wick_b33fbcdbe4d3b88c01ad9de4be5837d33b1b762780ae702ef88523fd,"Over $150,000","Fulton County, GA",Very likely,Other,Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.35271125318488145,0.83,0.3936842852877122
